loss,grad_norm,learning_rate,epoch,step
1.2067,0.4011375606060028,0.0,0.04,1
1.2813,0.4065167307853699,4e-05,0.08,2
1.2395,0.4350723922252655,8e-05,0.12,3
1.2176,0.4070405662059784,0.00012,0.16,4
1.1331,0.41633307933807373,0.00016,0.2,5
1.0563,0.4331751763820648,0.0002,0.24,6
0.9902,0.44563424587249756,0.00019636363636363636,0.28,7
0.9492,0.5789755582809448,0.00019272727272727274,0.32,8
0.8689,0.5641422271728516,0.0001890909090909091,0.36,9
0.7468,0.49823686480522156,0.00018545454545454545,0.4,10
0.7561,0.4730370342731476,0.00018181818181818183,0.44,11
0.7268,0.47205325961112976,0.0001781818181818182,0.48,12
0.6746,0.3878963887691498,0.00017454545454545454,0.52,13
0.6719,0.35136592388153076,0.0001709090909090909,0.56,14
0.6826,0.37623703479766846,0.00016727272727272728,0.6,15
0.6157,0.35835668444633484,0.00016363636363636366,0.64,16
0.6322,0.38195285201072693,0.00016,0.68,17
0.6324,0.3822837471961975,0.00015636363636363637,0.72,18
0.6692,0.41403380036354065,0.00015272727272727275,0.76,19
0.6281,0.376479834318161,0.0001490909090909091,0.8,20
0.6377,0.4058816730976105,0.00014545454545454546,0.84,21
0.6326,0.3841446340084076,0.00014181818181818184,0.88,22
0.6201,0.38311243057250977,0.0001381818181818182,0.92,23
0.6139,0.38453397154808044,0.00013454545454545455,0.96,24
0.5796,0.3794161081314087,0.00013090909090909093,1.0,25
0.5402,0.36247918009757996,0.00012727272727272728,1.04,26
0.6074,0.34418606758117676,0.00012363636363636364,1.08,27
0.5254,0.38066351413726807,0.00012,1.12,28
0.5254,0.3719453811645508,0.00011636363636363636,1.16,29
0.5595,0.38748568296432495,0.00011272727272727272,1.2,30
0.5532,0.41138285398483276,0.00010909090909090909,1.24,31
0.5382,0.401953786611557,0.00010545454545454545,1.28,32
0.5353,0.41461145877838135,0.00010181818181818181,1.32,33
0.5228,0.3988029360771179,9.818181818181818e-05,1.3599999999999999,34
0.551,0.3831985890865326,9.454545454545455e-05,1.4,35
0.5165,0.372952401638031,9.090909090909092e-05,1.44,36
0.4881,0.3631068468093872,8.727272727272727e-05,1.48,37
0.5297,0.34166219830513,8.363636363636364e-05,1.52,38
0.5426,0.3777713477611542,8e-05,1.56,39
0.4894,0.3396988809108734,7.636363636363637e-05,1.6,40
0.535,0.4279603064060211,7.272727272727273e-05,1.6400000000000001,41
0.5141,0.38707438111305237,6.90909090909091e-05,1.6800000000000002,42
0.5387,0.37700796127319336,6.545454545454546e-05,1.72,43
0.5337,0.41728097200393677,6.181818181818182e-05,1.76,44
0.5084,0.38288992643356323,5.818181818181818e-05,1.8,45
0.5152,0.38435930013656616,5.4545454545454546e-05,1.8399999999999999,46
0.5276,0.3967527747154236,5.090909090909091e-05,1.88,47
0.4931,0.4020587205886841,4.7272727272727275e-05,1.92,48
0.5606,0.41948404908180237,4.3636363636363636e-05,1.96,49
0.5172,0.39810216426849365,4e-05,2.0,50
0.4819,0.36811283230781555,3.6363636363636364e-05,2.04,51
0.4869,0.359256386756897,3.272727272727273e-05,2.08,52
0.4497,0.36220863461494446,2.909090909090909e-05,2.12,53
0.4872,0.4126230478286743,2.5454545454545454e-05,2.16,54
0.4637,0.3693503141403198,2.1818181818181818e-05,2.2,55
0.4668,0.3542228639125824,1.8181818181818182e-05,2.24,56
0.4905,0.3850082755088806,1.4545454545454545e-05,2.2800000000000002,57
0.4352,0.3541823625564575,1.0909090909090909e-05,2.32,58
0.4681,0.3469734489917755,7.272727272727272e-06,2.36,59
0.4347,0.3545607328414917,3.636363636363636e-06,2.4,60
